club,date,country,League,Tier
FC Basel,2020-08-31,Switzerland,Swiss Super League,Tier 1
1. FC Köln,2004-06-30,Germany,Bundesliga,Tier 1
1. FC Köln U19,1997-06-30,Germany,Bundesliga,Tier 2
Ajax,1998-11-14,Netherlands,Eredivisie,Tier 1
FK Most,2015-02-24,Norway,Eliteserien,Tier 2
Viktoria Köln,2013-01-30,Germany,2. Bundesliga,Tier 2
1. FC Köln U17,2012-04-17,Germany,B-Junioren Bundesliga,Tier 3
1. FC Köln,1959-06-30,Germany,Bundesliga,Tier 2
Heerenveen,2008-06-30,Netherlands,Eredivisie,Tier 2
VfL Bochum,2013-06-30,Germany,2. Bundesliga,Tier 2
Fenerbahce,1994-12-22,Turkey,Süper Lig,Tier 1
Schalke 04 U19,1990-09-11,Germany,Bundesliga U19,Tier 2
Fortuna Köln,1990-09-23,Germany,2. Bundesliga,Tier 3
E. Cottbus U19,2011-06-30,Germany,Regionalliga Nordost,Tier 4
Concordia,2017-09-19,Chile,Primera División,Tier 2
BFC Dynamo,2018-12-17,Germany,2. Bundesliga,Tier 2
Anker Wismar,2009-02-28,Germany,Regionalliga Nord,Tier 3
Schalke 04 II,2016-06-30,Germany,Regionalliga West,Tier 3
Energie Cottbus,2011-12-31,Germany,Regionalliga Nord,Tier 3
Budissa Bautzen,2019-06-30,Germany,Oberliga Nordost-Nord,Tier 4
Energie Cottbus,1982-03-05,Germany,DDR-Oberliga,Tier 3
K. Offenbach,2008-06-30,Germany,Regionalliga Südwest,Tier 3
Germany U20,1993-06-30,Germany,U-20 World Cup,Tier 1
B. Neunkirchen,1960-06-30,Austria,Bundesliga,Tier 2
D. Dresden U19,2016-06-30,Germany,Bundesliga (U19),Tier 3
Slovakia,2022-06-06,Slovakia,Euro 2020 Qualifying,Tier 1
Atromitos,2021-02-04,Greece,Super League Greece,Tier 2
RSC Anderlecht,2017-09-18,Belgium,Jupiler Pro League,Tier 1
1. FC Nuremberg,2014-06-30,Germany,2. Bundesliga,Tier 3
Nuremberg II,2014-04-22,Germany,Regionalliga Süd,Tier 3
SpVgg Weiden,2005-09-10,Germany,Regionalliga Süd,Tier 4
R. Strasbourg,1971-04-27,France,Ligue 2,Tier 3
AC Pisa,1935-06-30,Italy,Italian Football Championship,Tier 1
Wacker Wien,1926-12-31,Austria,First League of Vienna,Tier 3
Germany U20,2019-06-30,Germany,U-20 World Cup,Tier 1
St. Pauli U17,2018-06-30,Germany,Regionalliga Nord,Tier 3
Karlsruher SC,2009-09-03,Germany,2. Bundesliga,Tier 3
Karlsruhe U19,2009-04-30,Germany,B-Junioren Bundesliga,Tier 2
Pr. Niederkorn,2020-11-23,Luxembourg,EFL Trophy,Tier 2
FC St. Pauli,2014-09-03,Germany,2. Bundesliga,Tier 2
Jahn Regensburg,2013-05-31,Germany,2. Bundesliga,Tier 2
Berliner AK,2014-09-15,Germany,3. Liga,Tier 3
Holstein Kiel,1979-06-30,Germany,2. Bundesliga,Tier 3
Barmbek-U.,1971-06-30,Germany,Oberliga Hamburg,Tier 2
FC St. Pauli,1963-06-30,Germany,Regionalliga West,Tier 2
Greuther Fürth,2022-06-30,Germany,2. Bundesliga,Tier 2
TSV Havelse,2021-06-30,Germany,3. Liga,Tier 3
07 Vestur,2023-07-01,Iceland,Úrvalsdeild,Tier 1
Hannover 96,2006-09-18,Germany,2. Bundesliga,Tier 2
Hannover 96,1994-11-06,Germany,Bundesliga,Tier 1
M'gladbach II,1991-06-30,Germany,Regionalliga West,Tier 3
TuS Lingen,2011-06-30,Germany,Regionalliga West,Tier 4
SuS Westenholz,1987-06-30,Germany,Oberliga,Tier 3
Esbjerg fB,1983-12-31,Denmark,DBU's Landspokalturnering,Tier 1
Hannover 96,1950-11-30,Germany,Oberliga West,Tier 1
1. FSV Mainz 05,2015-02-17,Germany,Bundesliga,Tier 1
Austria,2001-12-21,Austria,Bundesliga,Tier 1
SV Wehen,1991-11-05,Germany,2. Bundesliga,Tier 2
1. FSV Mainz 05,1980-06-30,Germany,Bundesliga,Tier 2
FC Lugano,1964-09-15,Switzerland,Nations League Tier 3,Tier 3
Schalke 04 U17,2015-06-30,Germany,B-Junioren Bundesliga,Tier 2
Wolfsburg Yth.,2005-06-30,Germany,Bundesliga,Tier 1
Feyenoord Youth,2020-06-30,Netherlands,Eredivisie,Tier 1
FC Zürich,2019-06-30,Switzerland,Super League,Tier 1
FC Den Bosch,2016-02-06,Netherlands,Eerste Divisie,Tier 3
Alem. Aachen,2012-09-03,Germany,3. Liga,Tier 4
FC Winterthur,2015-11-26,Switzerland,Challenge League,Tier 2
JS Wenau,2015-01-20,Germany,Bundesliga,Tier 2
Baesweiler 09,2012-06-30,Germany,Regionalliga West,Tier 4
Waldh. Mannheim,2004-11-02,Germany,Regionalliga Südwest,Tier 4
Standard Liège,1987-06-30,Belgium,First Division (Belgium),Tier 2
Fenerbahce,2002-01-08,Turkey,Süper Lig,Tier 1
Viktoria Köln,1981-06-30,Germany,Bundesliga,Tier 2
Doxa Vyronos,1999-06-30,Greece,Gamma Ethniki,Tier 4
Germany U15,2019-06-30,Germany,DJK-Oberhausen (Youth League),Tier 3
Hoffenheim II,2009-05-05,Germany,2. Bundesliga,Tier 2
RB Salzburg,2009-09-03,Austria,Austrian Bundesliga,Tier 1
Karlsruhe II,2001-06-30,Germany,Regionalliga Südwest,Tier 3
Karlsruher SC,1983-06-30,Germany,2. Bundesliga,Tier 2
SV Rödinghausen,2020-06-30,Germany,Regionalliga West,Tier 4
Stuttg. Kickers,2000-09-26,Germany,Regionalliga Süd,Tier 3
FC Augsburg,1998-06-30,Germany,Bundesliga,Tier 1
FC Augsburg,1998-04-18,Germany,2. Bundesliga,Tier 3
ESV Ingolstadt,1981-01-10,Germany,Bundesliga,Tier 2
Offenburger FV,1975-06-30,Germany,Regionalliga Süd,Tier 3
Karlsruher FV,1951-06-30,Germany, Oberliga Südwest,Tier 2
Wacker Wien,1961-06-30,Austria,Bundesliga,Tier 2
Kremser SC,1960-06-30,Austria,Bundesliga,Tier 2
Wacker Wien,1956-06-30,Austria,Bundesliga,Tier 2
Admira Wien,1960-06-30,Austria,Bundesliga,Tier 1
BC Augsburg,1945-12-31,Germany,Bundesliga,Tier 1
Bayer 04 Leverkusen,2010-08-08,Germany,Bundesliga,Tier 1
SpVgg Fürth,1996-06-30,Germany,2. Bundesliga,Tier 3
Darmstadt 98,1984-09-25,Germany,2. Bundesliga,Tier 3
Union Luxemburg,1973-06-30,Luxembourg,National Division,Tier 2
B. Neunkirchen,1968-06-30,Germany,Regionalliga Südwest,Tier 2
FC Biel-Bienne,1959-06-30,Switzerland,Nationalliga A,Tier 1
SpVgg Fürth,1948-07-31,Germany,3. Liga,Tier 4
SpVgg Fürth,1946-01-31,Germany,2. Oberliga,Tier 2
VfL Neckarau,1948-01-19,Germany,Oberliga Südwest,Tier 2
Watford,2017-06-30,England,EFL Championship,Tier 2
Potenza SC,2001-06-30,Italy,Serie C2,Tier 4
Rad,2011-09-18,Serbia,SuperLiga,Tier 3
Waldh. Mannheim,2005-12-23,Germany,2. Bundesliga,Tier 3
Düsseldorf II,2001-10-03,Germany,3. Liga,Tier 4
VfL Osnabrück,2011-12-08,Germany,3. Liga,Tier 4
Piroozi FC,1995-07-15,Iran,Iran Pro League,Tier 3
Al-Wahda FC,2013-07-15,United Arab Emirates,UAE Pro League,Tier 1
Al-Shaab,2000-06-30,United Arab Emirates,UAE Pro League,Tier 3
Galatasaray,1988-06-30,Turkey,Süper Lig,Tier 1
RB Leipzig U19,2022-12-12,Germany,Bundesliga,Tier 1
Norwich,2018-11-15,England,EFL Championship,Tier 2
HB Köge,2015-12-23,Denmark,Superliga,Tier 1
RB Ghana,2011-06-30,Ghana,Ghana Premier League,Tier 4
Füchse Berlin,2005-11-24,Germany,Oberliga Berlin,Tier 3
Türkiyemspor,1992-06-30,Turkey,Turkish Football Federation,Tier 1
E. Braunschweig,1985-06-30,Germany,2. Bundesliga,Tier 2
SC Paderborn,2023-06-24,Germany,2. Bundesliga,Tier 1
Ingolstadt U17,2019-06-30,Germany,Bundesliga Youth League,Tier 2
Ingolstadt U19,2018-11-25,Germany,Bundesliga Youth League,Tier 3
FC Ingolstadt,2008-01-01,Germany,2. Bundesliga,Tier 2
M'gladbach U17,2007-06-30,Germany,B-Junioren-Bundesliga,Tier 2
E. Frankfurt II,1994-06-30,Germany,Oberliga Hessen,Tier 3
Selangor II,2021-11-30,Malaysia,Malay Cup,Tier 3
Energie Cottbus,2010-08-13,Germany,Regionalliga Nordost,Tier 4
FSV Frankfurt,2010-06-30,Germany,3. Liga,Tier 4
RW Essen,1983-01-17,Germany,2. Bundesliga,Tier 2
Markranstädt,2009-06-30,Germany,Oberliga,Tier 4
FC Basel,2017-06-30,Switzerland,Swiss Super League,Tier 1
FC Zürich,2012-03-12,Switzerland,Super League,Tier 1
Heracles Almelo,2022-05-16,Netherlands,Eredivisie,Tier 1
Werder Bremen,2002-11-05,Germany,Bundesliga,Tier 1
Germany U18,2009-06-30,Germany,UEFA Youth League,Tier 2
Wismut Gera,1986-11-22,Germany,DDR-Oberliga,Tier 2
BSG Stahl Br.,1975-06-30,Germany,Bundesliga,Tier 1
Union Berlin,1970-06-30,Germany,Bundesliga,Tier 1
Berliner SV 92,1965-06-30,Germany,Oberliga Berlin,Tier 2
TeBe Berlin U17,2014-06-30,Germany,Bundesliga Jugend,Tier 1
Shkendija,2017-05-10,Macedonia, Macedonian First League,Tier 4
TeBe Berlin,2016-12-31,Germany,Regionalliga Nordost,Tier 3
BFC Dynamo II,2014-12-31,Germany,Regionalliga Nordost,Tier 3
H. Rostock II,2002-06-30,Germany,Regionalliga Nord,Tier 4
Lichtenberg 47,1992-06-30,Germany,Regionalliga Berlin,Tier 3
SC Lichtenberg,1948-06-30,Switzerland,Swiss National League Tier II,Tier 2
TeBe Berlin,1958-06-30,Germany,Oberliga,Tier 2
Oberhausen II,2017-06-30,Germany,Regionalliga West,Tier 4
BWO Lirich,2019-10-12,Nigeria,NPL (Nigerian Premier League),Tier 4
SV Sonsbeck,2017-10-19,Germany,Verbandsliga Niederrhein,Tier 4
FSV Duisburg,2016-09-06,Germany,3. Liga,Tier 4
Sachsen Leipzig,2004-04-05,Germany,2. Bundesliga,Tier 3
Hessen Kassel,1997-10-21,Germany,3. Liga,Tier 4
Schöppingen,1985-06-30,Germany,Oberliga Westfalen,Tier 2
RW Oberhausen,1975-06-30,Germany,2. Bundesliga,Tier 2
Westfalia Herne,1971-06-30,Germany,Regionalliga West,Tier 3
SGV Freiburg,2022-12-31,Germany,Bundesliga,Tier 1
SGV Freiburg,2019-06-30,Germany,2. Bundesliga,Tier 3
Stuttg. Kickers,2018-04-05,Germany,Regionalliga Südwest,Tier 4
Stuttgart U19,2017-06-30,Germany,Bundesliga U19,Tier 1
Saarbrücken,2006-12-31,Germany,3. Liga,Tier 4
Auda,2022-12-31,Tunisia,Ligue I,Tier 3
Frankfurt U19,2019-03-05,Germany,Regionalliga Süd,Tier 3
Ingolstadt II,2014-09-08,Germany,3. Liga,Tier 3
SV Sandhausen,2012-11-19,Germany,3. Liga,Tier 3
Tours FC,2012-08-20,France,Ligue 2,Tier 2
Nuremberg II,2007-06-30,Germany,Regionalliga Süd,Tier 4
SV Meppen,1997-12-16,Germany,Regionalliga Nord,Tier 4
R. Strasbourg,1935-06-30,France,French First Division,Tier 1
Fortuna Köln,20/06/30,Germany,2. Bundesliga,Tier 3
SV Eichede,2016-06-30,Germany,Regionalliga Südwest,Tier 4
Fortuna Köln,2018-10-14,Germany,2. Bundesliga,Tier 2
FC Puch,1990-06-30,Austria,Erste Liga,Tier 2
LASK,2009-06-30,Austria,Bundesliga,Tier 1
Austria,2005-09-28,Austria,Bundesliga,Tier 1
Erzgebirge Aue,1996-04-26,Germany,Oberliga,Tier 3
First Vienna FC,1979-09-30,Austria,Erste Liga (Tier 2),Tier 2
H. Friesoythe,2007-06-30,Germany,Regionalliga Nord,Tier 3
TSG Weinheim,2014-04-29,Germany,Regionalliga Südwest,Tier 3
TSV Viernheim,2008-06-30,Germany,Oberliga Baden-Wurttemberg,Tier 3
VfR Mannheim,2007-04-16,Germany,Regionalliga Südwest,Tier 4
K. Offenbach,2006-01-27,Germany,Regionalliga Südwest,Tier 3
Pfungstadt,2005-06-30,Germany,3. Liga,Tier 4
W. Nordhausen,2017-06-30,Germany,Regionalliga Nord,Tier 3
EFC Stahl,1992-01-19,Germany,Bundesliga,Tier 1
K. Offenbach,1995-04-04,Germany,Regionalliga Südwest,Tier 3
Chio Waldhof 07,1973-02-17,Germany,Bundesliga,Tier 1
Rot Weiss Ahlen,30/6/2024,Germany,3. Liga,Tier 2
Chemnitzer FC,2019-09-04,Germany,3. Liga,Tier 4
Karl-Marx-St.U19,1989-06-30,East Germany,Ost-Berliner Bezirksliga,Tier 3
Chemnitzer FC,2000-11-01,Germany,2. Bundesliga,Tier 2
Karl-Marx-Stadt,1970-06-30,East Germany,DDR-Oberliga,Tier 1
K. Offenbach,2023-04-17,Germany,Regionalliga Südwest,Tier 4
Viktoria Berlin,2017-06-09,Germany,3. Liga,Tier 4
Altlüdersdorf,2013-06-30,Germany,Regionalliga Nord,Tier 4
K. Offenbach,2020-12-30,Germany,3. Liga,Tier 4
Obertshausen,2010-06-30,Germany,Regionalliga Südwest,Tier 4
Pr. Münster,1972-06-30,Germany,Regionalliga West,Tier 3
SSV Reutlingen,2022-03-21,Germany,Oberliga Baden-Wurttemberg,Tier 4
Stuttgart Yth.,2011-12-31,Germany,2. Bundesliga,Tier 2
Reutlingen U17,2004-06-30,Germany,B-Junioren-Bundesliga,Tier 2
Reutlinger SV,2010-11-25,Germany,B-Junioren-Bundesliga,Tier 2
SSV Reutlingen,1994-06-30,Germany,Regionalliga Süd,Tier 3
FC 08 Homburg,1974-09-22,Germany,Regionalliga Südwest,Tier 3
Wolfsburg II,2016-11-03,Germany,3. Liga,Tier 4
F91 Dudelange,2012-11-13,Luxembourg,Europa Conference League,Tier 3
SC Verl,2000-03-23,Germany,Regionalliga West,Tier 4
Mülheim-Kärlich,2006-06-30,Germany,Regionalliga West,Tier 4
Zug 94,1983-06-30,Switzerland,Swiss Super League,Tier 2
VfB Lësck,1982-02-07,Germany,Oberliga Nord,Tier 4
Saarbrücken,1981-02-28,Germany,Bundesliga,Tier 1
Germany U17,2006-06-30,Germany,UEFA Youth League,Tier 2
B. Neunkirchen,1979-06-30,Germany,2. Bundesliga,Tier 2
RC Paris,1958-06-30,France,Division 1 (France),Tier 1
1. FC Nuremberg,2022-08-28,Germany,3. Liga,Tier 4
VfB Lübeck,2006-06-30,Germany,Regionalliga Nord,Tier 4
SF Lotte,1997-06-30,Germany,Regionalliga West,Tier 3
TuS Lingen,1993-02-11,Germany,Regionalliga West,Tier 4
TuS Lingen,1998-02-15,Germany,Oberliga Nordrhein-Westfalen,Tier 4
BSV Rehden,2021-12-15,Germany,Regionalliga Nord,Tier 4
VfB Bottrop,2023-02-03,Germany,Regionalliga West,Tier 4
FC Türkiye,2016-10-24,Turkey,Süper Lig,Tier 1
Hessen Kassel,2011-10-18,Germany,Regionalliga Südwest,Tier 3
Rot Weiss Ahlen,2009-04-16,Germany,2. Bundesliga,Tier 3
Germany U17,2017-06-30,Germany,UEFA European Under-17 Championship,Tier 2
AS Trencin,2023-05-21,Slovakia,Fortuna Liga,Tier 2
Teplice,2004-03-30,Czech Republic,Synot Liga,Tier 1
Pr. Münster,1999-11-01,Germany,2. Bundesliga,Tier 2
Schweinfurt 05,2012-06-30,Germany,Regionalliga Bayern,Tier 4
1. FC Haßfurt,2012-04-03,Germany,Regionalliga Bayern,Tier 4
VfL Frohnlach,1989-06-30,Germany,Regionalliga Südwest,Tier 4
Babelsberg 03,2019-12-31,Germany,Regionalliga Nordost,Tier 4
Union Berlin,2017-10-01,Germany,2. Bundesliga,Tier 3
Babelsberg 03,1997-10-27,Germany,Regionalliga Nordost,Tier 4
Babelsberg 03,1993-11-04,Germany,Oberliga,Tier 2
Eintracht Trier,2024-06-30,Germany,Regionalliga West,Tier 5
Eintracht Trier,2017-04-11,Germany,3. Liga,Tier 4
Leiwen-Köwerich,2012-12-31,Germany,Oberliga Rheinland-Pfalz/Saar,Tier 3
Eintracht Trier,1996-06-30,Germany,3. Liga,Tier 3
Eintracht Trier,1990-06-30,Germany,2. Bundesliga,Tier 2
Wiener AC,1962-03-11,Austria,Bundesliga,Tier 1
A. Klagenfurt,2021-06-30,Austria,2. Liga,Tier 3
W. Burghausen,2019-11-08,Germany,Regionalliga Bayern,Tier 4
TSV 1860 U19,2017-11-10,Germany,Bundesliga Youth League,Tier 2
1860 Munich,2012-06-30,Germany,Bundesliga,Tier 1
SC Pfullendorf,1992-06-30,Germany,Oberliga Baden-Württemberg,Tier 3
W. Burghausen,1992-06-30,Germany,Regionalliga Süd,Tier 3
FC Hennef U19,2020-06-30,Germany,Regionalliga West,Tier 4
FC Amberg,2015-06-30,Germany,3. Liga,Tier 4
Hertha BSC U16,2009-06-30,Germany,B-Junioren Bundesliga,Tier 2
Erzgeb. Aue U19,2013-04-26,Germany,Regionalliga Süd,Tier 4
Carl Zeiss Jena,2016-06-01,Germany,DDR-Oberliga,Tier 2
BSG Chemie,1981-06-30,Germany,Oberliga,Tier 2
Chemnitzer SV,1994-06-30,Germany,2. Bundesliga,Tier 2
SK W'hoek,2010-05-31,Slovakia,Fortuna Liga,Tier 1
Jahn Regensburg,2013-06-10,Germany,2. Bundesliga,Tier 2
Altay SK,1989-12-05,Turkey,Turkish First Football League,Tier 2
1. FC Heurach,1988-11-30,Germany,Bundesliga,Tier 1
Jahn Regensburg,1996-06-30,Germany,2. Bundesliga,Tier 3
VfB Hüls,2010-04-02,Germany,Regionalliga West,Tier 4
Karlsruher SC,2009-09-02,Germany,2. Bundesliga,Tier 3
FC Kray,2007-10-09,Germany,3. Liga,Tier 4
RW Essen II,2010-06-30,Germany,Regionalliga West,Tier 4
RW Essen II,2001-03-22,Germany,Regionalliga West,Tier 4
RW Essen,1978-06-30,Germany,Regionalliga West,Tier 3
Bay. Uerdingen,1977-08-28,Germany,Bundesliga,Tier 1
Iraq,2009-07-15,Iraq,AFC Asian Cup Qualification,Tier 3
Rot-Weiß Erfurt,2020-01-29,Germany,Regionalliga Nordost,Tier 4
Rot-Weiß Erfurt,2014-06-30,Germany,Regionalliga Nordost,Tier 3
RW Erfurt U19,2014-12-31,Germany,Regionalliga Nordost,Tier 3
DSV Leoben,2008-05-30,Austria,Regionalliga,Tier 4
G. Halberstadt,2015-10-06,Germany,3. Liga,Tier 4
Rot-Weiß Erfurt,2008-02-19,Germany,Regionalliga Nordost,Tier 4
Slovakia,2008-06-30,Slovakia,Euro 2008 Qualifiers,Tier 2
E. Frankfurt II,2000-04-12,Germany,3. Liga,Tier 4
Spfr. Siegen,2009-06-02,Germany,3. Liga,Tier 4
Chelsea U18,2008-06-30,England,Premier Academy League,Tier 2
Dynamo Dresden,2006-09-10,Germany,2. Bundesliga,Tier 2
TuS Koblenz,2009-06-30,Germany,Regionalliga Südwest,Tier 4
VfB Leipzig,1996-04-30,Germany,Bundesliga,Tier 1
1860 München II,2001-03-31,Germany,2. Bundesliga,Tier 2
Dynamo Dresden,1998-03-31,Germany,Bundesliga,Tier 1
Dynamo Dresden,1996-04-15,Germany,2. Bundesliga,Tier 3
Chemie Böhlen,1970-06-30,Germany,DDR-Oberliga,Tier 2
Spfr. Siegen,2019-10-28,Germany,Regionalliga West,Tier 4
SpVg Olpe,2015-06-30,Germany,Regionalliga West,Tier 4
Spfr. Siegen,2014-11-03,Germany,3. Liga,Tier 4
VSV Wenden,2013-08-18,Germany,Oberliga,Tier 2
Spfr. Siegen,2011-05-03,Germany,3. Liga,Tier 4
TSV Weißtal,2009-12-31,Germany,"Bavarian Regional League, Division 3",Tier 4
SF Birkelbach,2019-07-02,Germany,3. Liga,Tier 4
Spfr. Siegen,2004-04-11,Germany,3. Liga,Tier 3
SG Betzdorf,1999-06-30,Germany,Oberliga Rheinland-Pfalz/Saar,Tier 4
TuS Koblenz,2002-06-30,Germany,Oberliga Hessen,Tier 3
HSV Hoek,2015-06-30,Netherlands,Eerste Klasse,Tier 2
St. Gillis Waas,2012-11-26,Belgium,Third Amateur Division,Tier 3
Lokomotiv Plovdiv,2012-06-30,Bulgaria,A Professional Football Group,Tier 4
Banga,2008-11-14,Ghana,Ghana Premier League,Tier 1
FC Eilenburg,2008-05-18,Germany,Regionalliga Nordost,Tier 3
SV 19-19 Grimma,2006-03-24,Germany,Regionalliga Nordost,Tier 4
Carl Zeiss Jena,1991-06-30,Germany,Oberliga,Tier 2
1. Göppinger SV,2013-06-30,Germany,Regionalliga Bayern,Tier 4
Hünfelder SV,2005-06-30,Germany,Oberliga Hessen,Tier 4
SV Wehen,1990-12-30,Germany,2. Bundesliga,Tier 3
TuBa Pohlheim,2019-06-30,Germany,Regionalliga Südwest,Tier 4
Stadtallendorf,2012-03-12,Germany,Regionalliga West,Tier 4
VfB Marburg,2004-06-30,Germany,Oberliga Hesse,Tier 3
VfB Gießen,2001-04-03,Germany,Regionalliga Hessen,Tier 4
First Vienna FC,2016-06-28,Austria,Erste Liga,Tier 2
TSV Essingen,2017-06-30,Sweden,Superettan,Tier 2
Frankfurt U19,2018-06-30,Germany,B-Junioren-Bundesliga,Tier 2
1. FC Köln,2006-06-30,Germany,Bundesliga,Tier 1
Wormatia Worms,2001-11-13,Germany,2. Bundesliga,Tier 2
SV Sandhausen,1999-06-30,Germany,2. Bundesliga,Tier 3
Würzb. Kickers,1997-10-19,Germany,Regionalliga Süd,Tier 3
Würzb. Kickers,1978-01-20,Germany,Regionalliga Südwest,Tier 3
Holstein Kiel,1989-06-30,Germany,2. Bundesliga,Tier 2
Holstein Kiel,1991-06-30,Germany,2. Bundesliga,Tier 2
Holstein Kiel,1984-12-03,Germany,2. Bundesliga,Tier 2
Magdeburg U19,2013-06-30,Germany,Regionalliga Nordost,Tier 4
BSG HW Stendal,1950-09-16,Germany,Oberliga Nordost,Tier 2
Halberg Brebach,2007-06-30,Germany,Bundesliga,Tier 1
SV Elversberg,2010-06-30,Germany,Regionalliga West,Tier 4
SV Elversberg,1996-09-20,Germany,Regionalliga West,Tier 4
ES Saintes Football,1998-06-30,France,Ligue 2,Tier 2
Béziers B,2013-06-30,France,Ligue de France - Régional 1,Tier 4
CA Bastia,2017-05-24,France,Ligue 2,Tier 2
Red Star FC,2017-01-10,Serbia,Srbija Liga,Tier 4
SC Bastia,2005-04-12,France,Ligue 2,Tier 1
KAS Eupen,2019-08-01,Belgium,Pro League,Tier 1
Le Havre AC,2009-05-31,France,Ligue 2,Tier 3
Cannes,2003-06-30,France,Ligue de France D2,Tier 2
ES Sahel,2002-06-30,Tunisia,Ligue I,Tier 1
Marseille,2000-06-30,France,Ligue 1,Tier 1
Ivory Coast,2008-03-07,Côte d'Ivoire,CAF Champions League,Tier 2
CS Sedan,2008-06-30,France,Ligue de Football Amateur,Tier 3
Red Star FC,2013-10-06,Serbia,Serbian SuperLiga,Tier 2
Senegal,2008-01-28,Senegal,African Cup of Nations,Tier 2
AS Gien,1989-06-30,France,French Fourth Division,Tier 4
AS Béziers,1984-06-30,France,French Division 2,Tier 3
Rennes,1984-06-30,France,Ligue 1,Tier 2
Union SG,1964-06-30,Belgium,First Division,Tier 1
FC Rouen B,2006-06-30,France,Ligue de Football Amateur,Tier 4
AC Arles-Avignon,2016-06-30,France,Ligue 2,Tier 2
FC Metz U19,2018-06-30,France,Ligue National Under 19,Tier 3
AFC Tubize,2016-06-30,Belgium,Belgian First Division,Tier 2
Lens,1997-06-30,France,Ligue 2,Tier 3
Rennes,2019-08-31,France,Ligue 1,Tier 2
Rennes,2007-12-31,France,Ligue 1,Tier 2
FC Gueugnon,2011-04-08,France,Ligue 2,Tier 3
CS Sedan,2003-03-31,France,Division 2,Tier 2
Troyes,2010-06-22,France,Ligue 2,Tier 3
Bayonne,2006-01-01,France,Pro D2,Tier 4
RE Virton,2010-06-30,Belgium,Pro League,Tier 2
F91 Dudelange,2009-06-30,Luxembourg,Ligue Luxembourgish,Tier 1
Espanyol,2004-06-30,Spain,La Liga,Tier 1
Guarani,2001-08-10,Paraguay,Paraguayan Primera División,Tier 2
FC Nantes,2009-06-30,France,Ligue 1,Tier 1
Saint-Étienne B,1994-06-30,France,Ligue 1,Tier 2
Besiktas,2007-06-30,Turkey,Turkish Super League,Tier 1
KSC Lokeren,2007-06-30,Belgium,Jupiler Pro League,Tier 1
G. Bordeaux,1995-06-30,France,Ligue 1,Tier 2
Racing Jet,1987-06-30,Spain,La Liga,Tier 1
Vit. Guimarães,1985-06-30,Portugal,Primeira Liga,Tier 1
RSC Anderlecht,1979-06-30,Belgium,First Division,Tier 1
Évian,2012-09-02,France,Ligue 2,Tier 2
OGC Nice B,2023-01-09,France,Ligue 1,Tier 1
AS Lyon-Duchère,2020-02-25,France,National,Tier 3
US Créteil,2001-03-26,France,National,Tier 2
FC Rouen 1899,2006-06-15,France,Ligue 2,Tier 3
Bourges,1993-06-30,France,Ligue 2,Tier 2
RWDM Brussels,2014-06-30,Belgium,First Division B,Tier 3
Dijon,2007-06-30,France,Ligue 2,Tier 3
France U19,2012-06-30,France,UEFA European Under-19 Championship,Tier 1
LOSC Lille,1994-06-30,France,Ligue 1,Tier 2
Al-Nassr,1986-06-30,Saudi Arabia,King Fahd Cup,Tier 2
MA Hussein Dey,1978-06-30,Algeria,D1 Algerienne,Tier 2
Lyon OU,1937-12-31,France,French League,Tier 1
Troyes,2018-05-22,France,Ligue 2,Tier 2
AS Libourne,2004-06-30,France,CFA Division 1,Tier 3
Trabzonspor,2014-11-10,Turkey,Turkish Super League,Tier 1
AS Beauvais,2002-06-30,France,CFA Division 1,Tier 3
FC Sochaux,1992-06-30,France,Ligue 1,Tier 2
US Toulouse,1938-06-30,France,French Division 1,Tier 2
Marseille U19,2016-09-30,France,Ligue 1,Tier 2
Monaco,1995-06-30,France,Ligue 1,Tier 1
Monaco,1983-06-30,France,Ligue 1,Tier 1
Monaco,1987-06-30,France,Ligue 1,Tier 2
Ajax,1973-06-30,Netherlands,Eredivisie,Tier 1
Standard Liège,1976-06-30,Belgium,Belgian First Division,Tier 1
Stade Reims,1974-06-30,France,Ligue 1,Tier 2
Monaco,1974-06-30,France,Ligue 1,Tier 2
GFCO Ajaccio,1978-06-30,France,Ligue 1,Tier 1
Esperance,1969-06-30,Tunisia,Tunisian Ligue Professionnelle 1,Tier 1
R. Strasbourg,2023-02-13,France,Ligue 2,Tier 4
Paris FC,2023-06-30,France,Ligue 2,Tier 2
Unknown,2021-12-26,Spain,La Liga,Tier 2
FC Metz,2002-06-30,France,Ligue 2,Tier 3
Dijon,2019-06-30,France,Ligue 2,Tier 2
Lens,2016-06-30,France,Ligue 2,Tier 2
R. Strasbourg,1995-06-30,France,Division 1,Tier 2
FC Sion,1980-06-30,Switzerland,NLA (National League A),Tier 2
Heracles,1979-09-27,Netherlands,Eerste Divisie,Tier 2
Eindhoven,1969-06-30,Netherlands,Eredivisie,Tier 1
RC Franc-Comtois,1961-06-30,France,Division 2,Tier 2
AS Nancy,2013-10-08,France,Ligue 2,Tier 2
Al-Gharafa SC,2017-12-28,Qatar,Qatar Stars League,Tier 2
ES Sahel,1999-06-30,Tunisia,Ligue I Tunisienne,Tier 1
France U20,2011-06-30,France,UEFA European Under-20 Championship,Tier 2
AS Nancy,1991-10-04,France,Ligue 2,Tier 3
SC Toulon Var,1993-03-01,France,Ligue 1,Tier 2
Limoges FC,1987-06-30,France,Ligue 2,Tier 3
Brest Armorique,1986-06-30,France,Ligue 2,Tier 3
